Method1	Method2	Method3	Method4	Method5
0.2045563459	-0.7954436541	3.5269999504	25.6229991913	0.031832587
0.3077021539	0.3077021539	2.1630001068	16.3670005798	0.1428915709
0.198752746	0.198752746	3.2060000896	21.0499992371	0.272490859
0.2011211962	-0.7988788038	1.9670000076	13.9519996643	0.1928397864
0.3083916903	0.3083916903	9.8809995651	54.1220016479	0.3842886984
0.4871225655	-0.5128774345	6.8140001297	37.4459991455	0.207899943
0.3032846153	-0.6967153847	2.2690000534	16.563999176	0.1964246631
0.3545304239	0.3545304239	3.6429998875	16.6529998779	0.2928102314
0.2163976431	-0.7836023569	3.4309999943	23.2199993134	0.1847747862
0.2343063205	-0.7656936795	2.4830000401	18.0849990845	0.0978820771
0.3978419006	-0.6021580994	2.1819999218	15.6300001144	0.1778982282
0.1924981326	-0.8075018674	8.1510000229	50.3380012512	0.2880375683
0.3455630541	-0.6544369459	5.3990001678	22.329000473	0.4229584932
0.2509348094	0.2509348094	4.9089999199	29.4750003815	0.2005740404
0.3057200313	-0.6942799687	1.2480000257	11.0670003891	0.0726165175
0.2201450616	0.2201450616	4.9930000305	25.670999527	0.3084656894
0.2392379344	0.2392379344	3.4879999161	24.6170005798	0.1975545287
0.1627366543	-0.8372633457	1.4559999704	13.5310001373	0.1512221694
0.2793968022	0.2793968022	2.496999979	15.595000267	0.1926772296
0.3198604584	0.3198604584	4.2670001984	24.0069999695	0.265668422
0.3835866451	0.3835866451	3.5490000248	22.0520000458	0.0323949642
0.3375086486	0.3375086486	3.763999939	25.4419994354	0.2055560946
0.2479029	-0.7520971	2.6889998913	20.9619998932	0.1518173665
0.2586329281	-0.7413670719	1.8320000172	13.5209999084	0.1263935119
0.1833144873	0.1833144873	2.2550001144	11.0550003052	0.2220264673
0.2525966465	0.2525966465	2.7090001106	16.3910007477	0.1840914041
0.2203614563	0.2203614563	5.0409998894	28.0559997559	0.2722257376
0.3354041576	-0.6645958424	1.5479999781	10.968000412	0.1644168496
0.1889962405	0.1889962405	3.1159999371	17.5520000458	0.0810445026
0.2889225185	0.2889225185	2.8499999046	17.4290008545	0.1543313116
0.1820165664	-0.8179834336	3.2239999771	17.3670005798	-1
0.2489949316	0.2489949316	1.5839999914	13.5209999084	0.0302665308
0.2039080262	-0.7960919738	1.7640000582	14.0729999542	0.0902405381
0.2954201102	0.2954201102	1.8409999609	12.1770000458	0.1397904754
0.3067797422	0.3067797422	2.8110001087	15.5710000992	0.2480198741
0.2926808894	0.2926808894	1.5970000029	11.5850000381	0.1074366644
0.1777351648	0.1777351648	5.5450000763	25.0750007629	0.406226337
0.3944612741	0.3944612741	4.6560001373	18.4619998932	0.3891277909
0.3408767879	0.3408767879	6.2109999657	28.1399993896	0.3847568333
0.2712625861	0.2712625861	1.7549999952	18.8099994659	0.1103919744
0.1182332188	-0.8817667812	4.5500001907	23.813999176	0.3542818725
0.3538629115	0.3538629115	2.8029999733	21.2469997406	0.1718636304
0.2080353349	-0.7919646651	3.6449999809	15.763999939	0.3106534481
0.2497854531	-0.7502145469	2.6059999466	15.8999996185	0.2467003763
0.1561448574	-0.8438551426	3.0469999313	22.952999115	0.0974108502
0.5672413111	-0.4327586889	4.2670001984	18.5119991302	0.2092876881
0.3115748763	-0.6884251237	1.5310000181	12.9689998627	0.1517822891
0.2338578403	0.2338578403	17.8819999695	97.3639984131	0.45726493
0.4455242157	-0.5544757843	3.4100000858	15.9239997864	0.3038730323
0.1750417054	-0.8249582946	6.8979997635	40.2099990845	0.2667066157
0.2134448737	-0.7865551263	5.2170000076	23.0750007629	0.4214154184
0.3507954776	-0.6492045224	1.6649999619	12.8199996948	0.1684972644
0.1540719569	-0.8459280431	2.8740000725	23.5540008545	0.1425776929
0.1914861649	-0.8085138351	3.5989999771	25.688999176	0.1740031242
0.2755431235	0.2755431235	7.3940000534	35.6090011597	0.4379739165
0.3088981807	0.3088981807	3.6159999371	20.1749992371	0.2924611866
0.3706777096	0.3706777096	4.236000061	29.1800003052	0.2139194459
0.2735923529	0.2735923529	4.3070001602	20.4759998322	0.2508971095
0.1904052198	0.1904052198	3.5480000973	20.6840000153	0.2598966658
0.3289600611	0.3289600611	5.4239997864	30.142999649	0.2883450687
0.1830696613	-0.8169303387	3.9379999638	18.4629993439	0.1919786036
0.1480538845	-0.8519461155	4.234000206	19.1130008698	0.34238258
0.2156914324	0.2156914324	3.4639999866	17.3479995728	0.2959293425
0.300644815	0.300644815	2.4170000553	19.5750007629	0.1402592808
0.2633388638	-0.7366611362	2.8359999657	14.2119998932	0.2456784248
0.2511200905	0.2511200905	1.0440000296	7.8800001144	0.1225934774
0.1338904649	-0.8661095351	2.4019999504	12.6929998398	0.2472503036
0.1459919363	-0.8540080637	2.1319999695	16.9470005035	0.1555309594
0.2343520969	0.2343520969	8.3739995956	53.3429985046	0.0886118039
0.2813165188	0.2813165188	8.1979999542	44.2120018005	0.3227846026
0.3213420212	0.3213420212	5.3210000992	33.7050018311	0.1392876357
0.3340473473	0.3340473473	3.9440000057	18.6900005341	0.3434019685
0.1844757646	-0.8155242354	5.0980000496	27.5160007477	0.1645918489
0.3825606108	-0.6174393892	2.1979999542	14.9259996414	0.0669394732
0.2115377188	0.2115377188	4.9349999428	34.2799987793	0.1182489693
0.1250606924	0.1250606924	3.5659999847	23.7070007324	0.2159575671
0.3585487902	0.3585487902	5.7270002365	36.28099823	0.1725733131
0.1931622028	0.1931622028	2.9690001011	24.6609992981	0.0708882585
0.1282802969	-0.8717197031	3.7999999523	16.2910003662	0.3101123273
0.3207460642	0.3207460642	1.3099999428	11.0649995804	-1
0.1609101892	0.1609101892	6.5900001526	34.5279998779	0.3950776458
0.5196318626	0.5196318626	1.7039999962	15.2779998779	0.0979769006
0.2481142133	0.2481142133	2.861000061	18.7880001068	0.230084002
0.2258440554	-0.7741559446	2.8840000629	24.5489997864	0.0526615828
0.1460643113	-0.8539356887	2.746999979	18.6650009155	0.1666303128
0.2114076614	0.2114076614	2.7330000401	18.783000946	0.1876375824
0.2822038531	0.2822038531	5.5050001144	27.5370006561	0.3293907344
0.3592921495	0.3592921495	1.1579999924	10.8629999161	0.1291286796
0.2949552834	0.2949552834	3.4159998894	20.4890003204	0.2726514041
0.2941963077	0.2941963077	3.8710000515	20.4489994049	0.2817056477
0.2166746557	-0.7833253443	7.7769999504	36.5960006714	0.5498971343
0.1458436698	0.1458436698	8.4200000763	42.5289993286	0.462920934
0.274089545	0.274089545	4	19.0049991608	0.2836399078
0.3160070479	-0.6839929521	1.5529999733	13.7489995956	0.1295678616
0.287910521	0.287910521	1.432000041	10.0659999847	0.1320593804
0.2302491665	0.2302491665	4.7379999161	28.5510005951	0.2659772038
0.2780006826	0.2780006826	1.3409999609	9.0530004501	0.0498611666
0.230190292	0.230190292	1.5230000019	7.7950000763	0.1700125635
0.183238849	-0.816761151	8.3990001678	40.9970016479	0.4053099453
0.2953322828	0.2953322828	2.2980000973	11.4530000687	0.2193655521
0.2973386049	0.2973386049	4.9759998322	28.5109996796	0.2811771333
0.1791272461	-0.8208727539	4.4450001717	23.2980003357	0.3188571632
0.2787274122	0.2787274122	2.611000061	17.1089992523	0.1199266538
0.2118725777	0.2118725777	3.2320001125	16.5389995575	0.2407162637
0.2646149397	0.2646149397	2.5480000973	18.9570007324	0.196548447
0.1991463602	-0.8008536398	4.4140000343	24.9640007019	0.2959950566
0.2845084071	0.2845084071	2.6570000648	14.6149997711	0.242633298
0.2814535797	0.2814535797	4.6609997749	22.8560009003	0.3199074864
0.4201055169	0.4201055169	2.4800000191	12.5860004425	0.139192
0.1890003234	-0.8109996766	1.6330000162	15.4600000381	0.1135646105
0.2095788866	-0.7904211134	0.9810000062	7.5970001221	0.1390877664
0.2280782312	0.2280782312	1.3739999533	12.9329996109	0.0772845373
0.187219426	0.187219426	4.4930000305	21.9990005493	0.2923082411
0.2924761474	-0.7075238526	3.1679999828	15.517999649	0.2576574385
0.3482048512	0.3482048512	3.4879999161	15.6780004501	0.2472732216
0.2108222693	-0.7891777307	2.0929999352	18.7329998016	0.0903831124
0.1569729149	-0.8430270851	14.5380001068	73.4469985962	0.503092885
0.4295018911	-0.5704981089	2.8480000496	21.8810005188	0.1207027435
0.1734558791	-0.8265441209	2.0420000553	16.8990001678	0.1180280969
0.2109514773	-0.7890485227	11.0430002213	48.2340011597	0.6463550329
0.6501838565	0.6501838565	3.2490000725	24.5529994965	0.1489487588
0.3117635548	0.3117635548	5.0170001984	27.763999939	0.4793664217
0.4988549352	-0.5011450648	4.993999958	29.482000351	0.3029313087
0.3775431216	-0.6224568784	2.7149999142	19.0450000763	0.0886460692
0.1878465414	-0.8121534586	2.4909999371	19.297000885	0.1714996248
0.1715896279	-0.8284103721	2.0260000229	10.4329996109	0.1846556067
0.2096824795	0.2096824795	3.1670000553	20.1819992065	0.1759564281
0.2960698605	0.2960698605	4.1589999199	24.2800006866	0.245877251
0.3470012844	0.3470012844	5.1579999924	22.3320007324	0.3626112342
0.384761095	0.384761095	3.1530001163	16.3169994354	0.2710146904
0.3014149368	0.3014149368	6.0679998398	34.4840011597	0.3220701814
0.2970612049	-0.7029387951	2.7960000038	26.2269992828	0.0326535553
0.0685211048	-0.9314788952	4.381000042	22.0209999084	0.3584303558
0.3740151525	0.3740151525	7.7690000534	37.8660011292	0.5297330022
0.4408372343	-0.5591627657	2.6530001163	24.4370002747	0.0693592131
0.2388577461	-0.7611422539	1.0099999905	7.2080001831	0.1297941506
0.2199452966	-0.7800547034	3.3469998837	19.0340003967	0.2704099715
0.3071635664	0.3071635664	2.2019999027	15.8699998856	0.1150744632
0.2895924449	0.2895924449	5.1119999886	29.7479991913	0.2750997543
0.2850852013	0.2850852013	2.3169999123	13.1529998779	0.2414475232
0.1745089293	0.1745089293	3.2850000858	15.857000351	0.285235405
0.2728260756	-0.7271739244	5.2960000038	26.3880004883	0.2578299344
0.2635589242	-0.7364410758	3.5450000763	21.6170005798	0.2207592577
0.3077704608	0.3077704608	1.743999958	11.5249996185	0.1699219942
0.2062235028	0.2062235028	2.5499999523	15.0909996033	0.200715676
0.1915082335	0.1915082335	4.2170000076	23.2080001831	0.2394999564
0.2955607474	-0.7044392526	4.9219999313	25.5400009155	0.3728736043
0.2752287686	0.2752287686	3.0799999237	17	0.1312157512
0.1563400775	-0.8436599225	1.6200000048	10.607000351	0.1917584687
0.3450474441	-0.6549525559	2.2520000935	11.6909999847	0.1075037643
0.3185560405	0.3185560405	2.2039999962	16.8059997559	0.1340073347
0.250346005	0.250346005	2.4279999733	18.9230003357	0.1685893983
0.1670669764	-0.8329330236	2.5450000763	14.5740003586	0.1108849719
0.1973549873	0.1973549873	5.1079998016	29.0039997101	0.225345239
0.3060827255	-0.6939172745	2.5840001106	14.9239997864	0.1345647722
0.2150446773	0.2150446773	2.2369999886	13.4600000381	0.0369297639
0.2410345823	0.2410345823	3.9049999714	28.7929992676	0.1342021674
0.1147000343	-0.8852999657	6.0279998779	30.3850002289	0.4101442993
0.424205184	-0.575794816	4.4730000496	25.4610004425	0.3108513355
0.2921360731	0.2921360731	1.6549999714	12.6590003967	0.1023026332
0.3014732003	0.3014732003	2.5789999962	21.1200008392	0.0530378968
0.2053404599	-0.7946595401	3.4719998837	17.968000412	0.2985679805
0.3332755566	0.3332755566	3.4839999676	22.1399993896	0.20921354
0.2660443187	0.2660443187	3.4110000134	26.311000824	0.122288011
0.1287371367	-0.8712628633	8.3649997711	41.7000007629	0.4528220594
0.3567476869	-0.6432523131	3.3929998875	26.7019996643	0.0140218856
0.3902972043	-0.6097027957	3.9600000381	20.9710006714	0.2515385449
0.2152712494	0.2152712494	5.6149997711	30.2140007019	0.3317451179
0.398160696	0.398160696	2.8519999981	19.9780006409	0.2013172507
0.2647610307	0.2647610307	2.3910000324	12.876999855	0.2123375833
0.200311929	0.200311929	2.6210000515	19.4969997406	0.1132396758
0.2352963984	-0.7647036016	4.1950001717	20.6350002289	0.1027086824
0.2877838612	0.2877838612	2.9279999733	20.1739997864	0.0824379101
0.2422640175	-0.7577359825	3.8299999237	24.3729991913	0.1988863349
0.1951108426	0.1951108426	4.7449998856	26.107000351	0.2417839319
0.374283582	0.374283582	4.117000103	25.2350006104	0.2461247742
0.3381869495	0.3381869495	7.4460000992	39.8390007019	0.1858339012
0.3516291082	-0.6483708918	1.1160000563	11.1219997406	0.0253641885
0.1779447943	-0.8220552057	2.9820001125	19.0820007324	0.2499999106
0.3726996183	0.3726996183	3.4300000668	18.9899997711	0.0961466357
0.3287588954	-0.6712411046	4.4260001183	20.7159996033	0.3007161617
0.2811307609	-0.7188692391	3.3970000744	24.8369998932	0.0651240274
0.2555645108	0.2555645108	5.9450001717	28.6380004883	0.2858512104
0.3217427731	0.3217427731	5.5650000572	35.9519996643	0.2286799699
0.295873642	0.295873642	1.4620000124	10.1370000839	0.1720706969
0.2664243281	0.2664243281	2.2349998951	20.1040000916	0.1237310767
0.133505702	-0.866494298	6.5069999695	28.8700008392	0.361725539
0.3578223884	0.3578223884	3.8059999943	25.422000885	0.1907250285
0.1840015948	-0.8159984052	2.6949999332	12.3549995422	0.216980502
0.1424714774	0.1424714774	4.7189998627	23.9279994965	0.2072632611
0.3441463113	0.3441463113	3.6099998951	19.8770008087	0.2573758662
0.2590049207	0.2590049207	3.763999939	22.9400005341	0.1322826743
0.3890351653	0.3890351653	2.5439999104	22.0189990997	0.0183704961
0.135984242	-0.864015758	4.1810002327	25.0809993744	0.2740803361
0.2472261935	-0.7527738065	5.4970002174	33.0740013123	0.2921515405
0.4446657896	0.4446657896	1.4129999876	6.4609999657	0.1728791744
0.1433765143	0.1433765143	2.0069999695	9.8100004196	0.1905291378
0.1602944732	0.1602944732	1.8830000162	15.8669996262	0.1426409185
0.2302491367	-0.7697508633	3.0329999924	18.6439990997	0.1530526131
0.3622208238	-0.6377791762	2.611000061	12.0740003586	0.2189880759
0.1409374028	-0.8590625972	5.123000145	29.7490005493	0.2495038807
0.2921373844	0.2921373844	2.8020000458	17.4769992828	0.1225688905
0.2929077446	0.2929077446	3.0069999695	17.7159996033	0.20291996
0.2578499019	0.2578499019	8.1199998856	51.4020004272	0.1219690889
0.3410547078	0.3410547078	2.3740000725	18.4659996033	0.1680337489
0.201502651	-0.798497349	3.0190000534	18.3770008087	0.2477467507
0.2245042473	-0.7754957527	3.8190000057	18.7989997864	0.052330073
0.3523789048	-0.6476210952	2.117000103	19.0240001678	0.1400900483
0.2528599203	0.2528599203	6.0710000992	36.5359992981	0.3194547296
0.3077898026	0.3077898026	2.1010000706	16.2940006256	0.0996678993
0.1801934987	0.1801934987	3.2820000648	17.8199996948	0.255884409
0.31379354	0.31379354	2.739000082	16.5760002136	0.2182435542
0.283783257	0.283783257	3.6259999275	15.7019996643	0.1938270926
0.1219627038	0.1219627038	3.7230000496	21.3880004883	0.3029333949
0.3205955625	-0.6794044375	2.7279999256	19.3649997711	-1
0.1636195332	-0.8363804668	4.5830001831	21.4190006256	0.3316211402
0.3321669996	-0.6678330004	2.7690000534	17.0259990692	0.1595730633
0.1471704692	-0.8528295308	1.5870000124	10.9370002747	0.1306902319
0.267313838	0.267313838	2.9200000763	16.283000946	0.2751998305
0.189542219	0.189542219	2.2170000076	15.4729995728	0.2477481067
0.2556008399	0.2556008399	1.8619999886	13.9949998856	0.1390993595
0.2847775519	-0.7152224481	2.0250000954	15.8470001221	0.0631727427
0.1603222936	-0.8396777064	3.0190000534	17.2779998779	0.2074818611
0.2548866272	-0.7451133728	2.1129999161	10.156999588	0.2402791679
0.1192004383	-0.8807995617	4.1640000343	24.2999992371	0.2915032804
0.371873945	-0.628126055	2.6670000553	14.5089998245	0.2091753185
0.320730865	0.320730865	9.1590003967	39.358001709	0.537142396
0.2060810626	0.2060810626	4.4609999657	23.204000473	0.2235194445
0.3536444306	0.3536444306	6.7150001526	36.6279983521	0.3128525913
0.4147270322	0.4147270322	3.4460000992	15.3120002747	0.2767141759
0.1789465845	0.1789465845	3.6440000534	23.9190006256	0.2359155416
0.3102664351	0.3102664351	5.2589998245	35.0620002747	0.2198049128
0.333843261	0.333843261	5.5980000496	28.563999176	0.3107041717
0.2498664558	0.2498664558	1.375	11.5649995804	0.1337694526
0.2036744207	-0.7963255793	2.6749999523	15.9060001373	0.1575482935
0.3935300708	0.3935300708	3.496999979	25.4780006409	0.1356927752
0.3247004151	0.3247004151	4.7610001564	33.34400177	0.1940606534
0.251167655	-0.748832345	3.2230000496	15.3470001221	0.2747376263
0.1600606889	-0.8399393111	3.5780000687	22.6560001373	0.2219519168
0.1807038933	-0.8192961067	2.9830000401	16.875	0.2228793651
0.2633340657	0.2633340657	3.5009999275	18.9309997559	0.2303500772
0.2415753305	0.2415753305	2.8599998951	18.3549995422	0.2474694997
0.3133193254	0.3133193254	1.6540000439	11.781999588	0.1246156543
0.1235901788	-0.8764098212	2.6689999104	17.3659992218	0.2141124159
0.3028309643	0.3028309643	2.8489999771	20.2409992218	0.01919269
0.1984299421	-0.8015700579	4.5130000114	20.8229999542	0.2089799494
0.319314152	0.319314152	3.6400001049	17.7439994812	0.1561945975
0.2424764037	0.2424764037	1.881000042	12.2889995575	0.200943023
0.2495901287	0.2495901287	3.1749999523	26.8199996948	0.1138306558
0.120809041	-0.879190959	3.9419999123	22.7560005188	0.118041113
0.2356105298	0.2356105298	3.0620000362	18.3449993134	0.1161584929
0.3191328049	0.3191328049	5.9879999161	23.8789997101	0.406383723
0.1844678968	0.1844678968	3.9879999161	28.0699996948	0.1459557116
0.1402366906	-0.8597633094	5.2989997864	30.7110004425	0.3866062462
0.2128858119	-0.7871141881	2.1259999275	14.986000061	0.198433429
0.2405299693	-0.7594700307	2.7200000286	12.5340003967	0.2435198724
0.2168609649	-0.7831390351	1.9340000153	16.3799991608	0.1514444053
0.282862097	-0.717137903	3.635999918	22.4029998779	0.1261602044
0.2444619834	0.2444619834	9.0249996185	48.6180000305	0.4106948376
0.42847386	-0.57152614	3.4419999123	22.9909992218	0.2039028704
0.3583213091	-0.6416786909	1.7139999866	14.0010004044	0.0999227315
0.2900009155	-0.7099990845	4.5190000534	20.9570007324	0.3606492281
0.3414488733	-0.6585511267	2.4330000877	21.1760005951	0.1018739045
0.2050472647	-0.7949527353	4.4219999313	25.2910003662	0.2720943391
0.2775261104	-0.7224738896	5.6069998741	33.5960006714	0.1254101247
0.2380926758	0.2380926758	2.4519999027	19.9839992523	0.1454069018
0.1720692068	-0.8279307932	3.5750000477	27.4759998322	0.1286096573
0.3871796131	0.3871796131	3.4670000076	19.795999527	0.2858082056
0.2590564787	0.2590564787	4.5440001488	23.2119998932	0.1972984821
0.387740612	-0.612259388	3.3359999657	19.702999115	0.2128463537
0.3129564822	0.3129564822	4.9879999161	33.3989982605	0.2236780375
0.2777109444	0.2777109444	3.0769999027	21.2919998169	0.1692920029
0.1886102259	-0.8113897741	5.4320001602	34.8969993591	0.0107049393
0.3319893479	-0.6680106521	3.0150001049	16.9400005341	0.2633427978
0.3484969735	0.3484969735	2.2660000324	16.4489994049	0.1588720232
0.2872696817	0.2872696817	1.0019999743	8.6829996109	0.1343870759
0.178527385	0.178527385	12.7460002899	72.5970001221	0.4254902899
0.5298168659	-0.4701831341	3.3410000801	21.357000351	0.1991577744
0.2214755416	-0.7785244584	2.743999958	15.6990003586	0.1234717146
0.2150360346	-0.7849639654	5.4330000877	36.8909988403	0.1375472844
0.0915109813	-0.9084890187	5.2010002136	28.2479991913	0.240271166
0.3463626206	0.3463626206	5.2150001526	33.9319992065	0.2092963159
0.3317256272	-0.6682743728	2.9030001163	16.1459999084	0.2041841894
0.3187195063	0.3187195063	5.256000042	24.3330001831	0.3974615932
0.2198326588	0.2198326588	2.4760000706	17.7630004883	0.0178514309
0.1676918119	-0.8323081881	5.7890000343	37.0369987488	0.1275664121
0.3157137632	0.3157137632	1.5110000372	13.7620000839	0.1086222753
0.1431644857	0.1431644857	2.7569999695	18.1919994354	0.1871572435
0.232469514	0.232469514	2.4189999104	13.8780002594	0.2103979588
0.2039372474	-0.7960627526	8.2379999161	42.5999984741	0.4570758641
0.3077015281	0.3077015281	5.4229998589	26.1030006409	0.3509552479
0.3368900418	0.3368900418	6.626999855	40.608001709	0.2811690569
0.2186738849	-0.7813261151	1.996999979	17.0949993134	0.0991736576
0.1963432729	0.1963432729	3.4200000763	13.5579996109	0.2910038531
